11:40-12:30#######
FY-A#PTE(SB)####PTE(SB)##
FY-B#PTE(PB)#PTE(PB)#####
FY-C###PTE(PB)###PTE(SB)#
FY-D###PTE(SB)#PTE(SB)###
FY-E#######
FY-F####PTE(PB)##PTE(PB)#
FY-G###PTE(PB)#PTE(PB)###
FY-H##PTE(SB)###PTE(PB)##
#######
SY-A#######
SY-B#######
SY-C#######
SY-D#######
SY-E#######
SY-F#######
SY-G#IT(GN)##IT(GN),TAM(KT)####
#######
12:30-01:10#######
FY-A#OCM(KG)#ENG(MG)#BKE(IK)#BKE(IK)#MAR(TS)#MAT(VK)#
FY-B#MAR(SK)#ECO(CR)#ECO(PS)#EVS(PT)#MAR(SK)#MAR(SK)#
FY-C#ECO(PS)#ECO(PS)#HIN(NS),MAR(SK)#HIN(NS),MAR(SK)#MAT(BS)#OCM(AD)#
FY-D#OCM(MT)#OCM(MT)#ENG(MG)#ENG(MG)#EVS(PT)#ECO(CR)#
FY-E#BKE(VV)#OCM(MF)#MAT(SM)#OCM(MF)#BKE(VV)#OCM(MF)#
FY-F#MAT(BS)#OCM(AD)#BKE(SP)#MAT(TM)#BKE(SP)#ECO(PS)#
FY-G#HIN(BP),MAR(SK),TAM(KT)#OCM(KG)#ECO(NL)#OCM(KG)#HIN(BP),MAR(SK),TAM(KT)#HIN(BP),MAR(SK),TAM(KT)#
FY-H#IT(ND),TAM(KT)#BKE(KS)#BKE(KS)#BKE(KS)#IT(ND),TAM(KT)#IT(ND),TAM(KT)#
#######
SY-A#MAT(JJ)#MAT(VK)#MAT(JJ)#MAT(VK)#MAT(JJ)#EVS(SB)#
SY-B#MAR(TS)#EVS(PT)#ENG(UI)#ECO(PS)#ECO(PS)#ENG(UI)#
SY-C#EVS(PT)#ECO(NL)#BKE(KG)#ENG(AA)#BKE(KG)#OCM(KS)#
SY-D#HIN(NS)#BKE(VV)#BKE(VV)#MAT(BS)#HIN(NS)#BKE(VV)#
SY-E#OCM(MF)#OCM(IK)#ENG(VT)#ENG(VT)#ECO(CR)#MAT(SM)#
SY-F#MAT(TM),SP(AD)#MAR(SK),HIN(BP)#SP(AD)#MAT(NK),SP(AD)#MAT(TM),SP(AD)#MAT(NK)#
SY-G#MAT(NK),SP(AD)#EVS(KT)#MAT(NK),SP(AD)#MAT(JJ),SP(AD)#MAT(NK),SP(AD)#BKE(MT)#
#######
01:10-01:50#######
FY-A#MAR(TS)#ECO(NL)#OCM(KG)#OCM(KG)#MAT(NK)#OCM(KG)#
FY-B#MAT(NK)#MAR(SK)#MAT(VK)#MAT(JJ)#MAT(JJ)#EVS(PT)#
FY-C#HIN(NS),MAR(SK)#ECO(PS)#ENG(AA)#OCM(AD)#HIN(NS),MAR(SK)#HIN(NS),MAR(SK)#
FY-D#HIN(BP)#BKE(KS)#MAT(JJ)#ECO(CR)#BKE(KS)#MAT(JJ)#
FY-E#ENG(VT)#BKE(VV)#OCM(MF)#ENG(VT)#OCM(MF)#ENG(VT)#
FY-F#ENG(AA)#ENG(AA)#OCM(AD)#ECO(PS)#OCM(AD)#OCM(AD)#
FY-G#MAT(VK),SP(AD)#HIN(BP),MAR(SK),TAM(KT)#ENG(MG)#ENG(MG)#OCM(KG)#ECO(NL)#
FY-H#MAT(JJ),SP(AD)#IT(ND),TAM(KT)#ECO(CR)#EVS(PT)#ECO(CR)#OCM(MT)#
#######
SY-A#BKE(MT)#OCM(MF)#BKE(MT)#OCM(MF)#BKE(MT)#OCM(MF)#
SY-B#MAT(SM)#BKE(KG)#MAT(SM)#OCM(IK)#MAT(SM)#MAR(TS)#
SY-C#SP(IK)#SP(IK)#EVS(PT)#HIN(NS)#SP(IK)#SP(IK)#
SY-D#OCM(KS)#MAT(BS)#OCM(KS)#BKE(VV)#BKE(VV)#OCM(KS)#
SY-E#ECO(CR)#MAT(SM)#HIN(BP)#MAT(SM)#ENG(VT)#HIN(BP)#
SY-F#BKE(VV)#MAT(TM),SP(AD)#BKE(VV)#ENG(AA)#ENG(AA)#ENG(AA)#
SY-G#ECO(NL)#MAT(JJ),SP(AD)#ECO(NL)#ECO(NL)#ECO(NL)#ENG(MG)#
#######
01:50-02:30#######
FY-A#MAT(NK)#OCM(KG)#MAR(TS)#EVS(SB)#ENG(MG)#MAR(TS)#
FY-B#BKE(VV)#MAT(VK)#ENG(VT)#MAR(SK)#ECO(PS)#OCM(MF)#
FY-C#BKE(AD)#OCM(AD)#BKE(SP)#ENG(AA)#OCM(AD)#EVS(PT)#
FY-D#ECO(CR)#MAT(SM)#HIN(BP)#OCM(MT)#HIN(BP)#ENG(AA)#
FY-E#EVS(PT)#ECO(CR)#BKE(VV)#BKE(VV)#EVS(PT)#ECO(NL)#
FY-F#HIN(BP)#ECO(PS)#ENG(AA)#BKE(AD)#ENG(AA)#HIN(BP)#
FY-G#ENG(MG)#EVS(PT)#MAT(NK),SP(AD)#HIN(BP),MAR(SK),TAM(KT)#BKE(IK)#OCM(KG)#
FY-H#OCM(MT)#OCM(MT)#MAT(JJ),SP(AD)#IT(ND),TAM(KT)#ENG(UI)#BKE(KS)#
#######
SY-A#MAR(SK)#ENG(VT)#MAR(SK)#ENG(VT)#MAR(SK)#ENG(VT)#
SY-B#BKE(KG)#OCM(IK)#BKE(KG)#MAR(TS)#MAR(TS)#OCM(IK)#
SY-C#OCM(KS)#OCM(KS)#HIN(NS)#ECO(NL)#ECO(NL)#HIN(NS)#
SY-D#MAT(TM)#HIN(NS)#MAT(TM)#OCM(KS)#MAT(TM)#ECO(PS)#
SY-E#MAT(VK)#HIN(BP)#MAT(VK)#OCM(MF)#MAT(VK)#BKE(MT)#
SY-F#OCM(MF)#BKE(VV)#OCM(MF)#ECO(PS)#OCM(MF)#BKE(VV)#
SY-G#OCM(IK)#OCM(SP)#BKE(MT)#OCM(IK)#BKE(MT)#OCM(SP)#
#######
03:00-03:40#######
FY-A#BKE(IK)#MAT(VK)#ECO(NL)#ENG(MG)#BKE(IK)#MAT(NK)#
FY-B#OCM(MF)#ENG(VT)#OCM(MF)#OCM(MF)#OCM(MF)#ECO(NL)#
FY-C#MAT(BS)#MAT(TM)#MAT(TM)#MAT(TM)#ENG(AA)#BKE(AD)#
FY-D#ENG(VT)#HIN(BP)#BKE(KS)#ENG(AA)#MAT(SM)#MAT(SM)#
FY-E#MAT(SM)#HIN(NS)#HIN(NS)#HIN(NS)#MAT(TM)#BKE(VV)#
FY-F#OCM(AD)#BKE(AD)#ECO(PS)#ECO(PS)#EVS(PT)#EVS(PT)#
FY-G#ECO(NL)#BKE(IK)#OCM(KG)#ECO(NL)#ECO(NL)#BKE(IK)#
FY-H#BKE(KS)#ITP(ND),ITP(GN)#OCM(MT)#OCM(MT)#OCM(MT)#ECO(CR)#
#######
